,Weight,Elevators,Winglets,theta,rou,result
443,5,25,1,45,90,48.8
586,20,35,1,40,105,48.6
594,15,35,1,40,105,48.6
411,25,30,1,45,95,48.5
616,0,25,1,40,100,48.5
437,10,25,1,45,90,48.5
610,5,30,1,40,100,48.5
396,35,35,1,45,95,48.4
603,10,30,1,40,100,48.4
405,30,35,1,45,95,48.4
617,0,30,1,40,100,48.4
555,40,45,1,40,110,48.3
593,15,30,1,40,105,48.3
579,25,40,1,40,105,48.2
432,15,30,1,45,90,48.2
425,20,30,1,45,90,48.2
412,25,35,1,45,95,48.2
404,30,30,1,45,95,48.2
389,40,35,1,45,95,48.2
578,25,35,1,40,105,48.2
357,60,45,1,45,100,48.2
347,65,45,1,45,100,48.2
37,100,45,1,50,95,48.1
571,30,40,1,40,105,48.1
431,15,25,1,45,90,48.1
543,45,45,1,40,110,48.1
374,50,40,1,45,95,48.0
356,60,40,1,45,100,48.0
84,80,40,1,50,90,48.0
301,85,50,1,45,105,48.0
418,25,30,1,45,90,48.0
211,25,25,1,50,80,48.0
167,50,35,1,50,85,48.0
166,50,30,1,50,85,48.0
438,10,30,1,45,90,48.0
156,55,35,1,50,85,48.0
587,20,40,1,40,105,48.0
562,35,40,1,40,105,48.0
36,100,40,1,50,95,47.9
554,40,40,1,40,110,47.9
143,60,35,1,50,85,47.9
201,30,25,1,50,80,47.9
257,0,25,1,45,85,47.9
291,90,50,1,45,105,47.9
302,85,55,1,45,105,47.9
337,70,45,1,45,100,47.9
381,45,35,1,45,95,47.9
382,45,40,1,45,95,47.9
390,40,40,1,45,95,47.9
536,50,50,1,40,110,47.9
244,0,20,1,50,75,47.8
329,75,50,1,45,100,47.8
328,75,45,1,45,100,47.8
280,95,55,1,45,105,47.8
155,55,30,1,50,85,47.8
338,70,50,1,45,100,47.8
72,85,40,1,50,90,47.8
238,5,20,1,50,75,47.8
346,65,40,1,45,100,47.8
38,100,50,1,50,95,47.8
604,10,35,1,40,100,47.8
397,35,40,1,45,95,47.7
563,35,45,1,40,105,47.7
292,90,55,1,45,105,47.7
535,50,45,1,40,110,47.7
256,0,20,1,45,85,47.7
279,95,50,1,45,105,47.7
528,55,50,1,40,110,47.7
194,35,30,1,50,80,47.7
85,80,45,1,50,90,47.7
419,25,35,1,45,90,47.7
60,90,40,1,50,90,47.7
131,65,35,1,50,85,47.7
