,Weight,Elevators,theta,rou,result
16339,48,46,35,105,44.0
14650,9,42,41,95,42.8
13051,87,36,38,110,9.8
896,50,15,50,85,41.8
24733,100,71,41,110,46.3
29299,10,64,48,85,3.4
6774,6,20,41,85,43.3
7606,24,22,35,115,6.5
12063,48,34,38,105,39.2
12155,60,34,41,110,42.2
22381,93,62,41,110,46.9
9094,33,26,35,100,8.3
10462,24,30,35,115,8.2
28985,90,58,48,75,43.5
6609,84,18,41,100,12.3
8579,60,24,38,115,7.6
10188,87,28,35,110,6.4
5370,9,16,41,100,33.6
12014,42,34,35,105,9.3
26047,20,25,48,85,3.4
24104,73,68,41,115,16.4
1944,70,39,43,105,45.8
13857,99,38,41,115,31.0
5872,81,16,41,90,15.3
8829,96,24,38,105,8.0
27786,10,46,48,80,29.4
8125,99,22,35,85,8.2
19477,87,54,38,115,44.8
20627,48,58,38,90,44.0
14824,36,42,35,90,42.9
17450,3,50,35,95,35.6
9724,21,28,35,100,11.0
18938,9,54,41,115,16.4
1879,82,56,43,105,47.3
21527,75,60,35,110,44.5
13408,36,38,38,110,46.7
18739,84,52,38,100,42.7
18213,9,52,38,95,35.3
20788,72,58,35,90,42.4
9057,27,26,38,90,36.7
21405,57,60,38,95,44.7
8437,39,24,41,105,35.5
872,65,75,50,85,34.1
10962,96,30,35,95,7.3
8194,6,24,35,115,6.4
2974,12,16,43,95,38.6
25151,65,13,52,75,42.1
21121,15,60,41,110,15.3
15909,87,44,41,90,42.5
10266,96,28,41,115,11.7
5021,63,14,35,105,5.3
1981,74,46,43,105,47.3
18319,24,52,38,100,43.6
2484,44,39,43,100,48.1
614,75,75,43,105,42.5
13883,3,40,35,110,45.8
6998,39,20,38,85,17.5
20219,90,56,41,115,47.5
165,60,85,30,100,40.2
13248,12,38,41,115,16.4
4869,39,14,41,115,16.4
19558,99,54,38,100,41.3
25412,70,16,48,90,37.0
12492,6,36,41,115,16.4
27703,80,43,48,85,47.0
6333,45,18,41,85,27.3
24066,70,68,35,100,44.2
25169,75,13,48,75,36.0
20705,60,58,35,95,44.0
13401,36,38,35,110,11.6
10310,3,30,35,90,45.1
11622,87,32,38,105,10.3
24807,30,10,48,65,38.3
19454,84,54,38,105,44.2
13819,96,38,35,100,7.6
28969,80,58,52,85,1.3
3472,45,10,38,95,8.2
20796,72,58,38,95,44.8
21164,21,60,41,115,16.4
9082,30,26,38,110,13.8
12928,69,36,41,90,41.2
22690,36,64,38,115,7.2
4117,36,12,35,100,6.0
9074,30,26,35,105,7.8
15550,36,44,38,115,7.2
12225,72,34,35,110,6.4
23710,81,66,35,105,44.2
847,75,70,50,85,39.1
25609,45,19,52,85,1.3
16956,33,48,38,110,47.6
21025,3,60,38,85,18.3
17320,84,48,41,110,45.8
19644,9,56,38,110,6.8
808,85,55,50,90,46.0
14619,6,42,35,115,6.4
22908,69,64,35,85,42.4
21663,93,60,41,90,44.9
27704,80,43,48,90,47.4
22905,66,64,41,105,45.3
7788,48,22,41,115,16.4
24458,61,71,41,100,42.1
27789,10,46,52,65,21.7
10439,21,30,35,105,11.3
748,100,75,50,80,40.0
22645,30,64,38,100,38.4
1388,55,25,55,70,47.2
8164,0,24,41,105,7.5
25378,55,16,52,70,44.1
26900,60,34,48,90,47.7
2832,24,28,43,95,47.1
16044,6,46,35,100,42.2
14437,81,40,38,115,10.8
24233,94,68,35,95,42.3
27441,75,40,52,65,44.6
4112,33,12,41,110,15.3
21132,18,60,38,95,34.3
25956,85,22,52,80,45.0
28905,55,58,52,65,35.3
15470,24,44,41,100,46.5
22903,66,64,41,95,44.5
12522,12,36,38,90,46.4
13017,81,36,41,115,16.4
9385,75,26,35,85,8.9
25167,75,13,48,65,37.2
13218,9,38,38,105,47.4
13117,96,36,41,90,36.1
23705,78,66,41,115,16.4
5899,87,16,35,85,7.5
26498,100,28,52,90,15.7
106,30,80,30,100,33.7
22897,66,64,38,100,45.1
7242,72,20,41,115,16.4
14653,9,42,41,110,15.3
24207,88,68,41,105,46.0
1090,50,60,45,95,42.3
8603,63,24,41,95,26.5
6327,45,18,38,90,12.0
20137,81,56,35,90,40.0
16710,99,46,41,105,42.5
1345,80,45,55,75,45.0
8951,12,26,38,85,42.7
1156,5,30,45,90,47.4
9907,45,28,41,105,40.1
8112,96,22,38,90,10.8
3341,27,10,35,105,5.3
20331,6,58,35,115,6.4
1468,10,20,55,60,46.0
2456,40,34,43,100,47.5
5419,18,16,35,100,6.8
22024,42,62,41,110,15.3
19450,84,54,38,85,42.2
12103,54,34,38,95,36.6
7146,60,20,38,90,12.0
7972,75,22,41,90,22.6
11801,12,34,35,90,44.7
17139,60,48,35,115,9.8
107,35,30,30,100,4.9
28256,100,49,48,90,47.1
21797,12,62,35,95,30.3
19248,54,54,41,90,45.3
28240,95,49,48,70,44.2
865,65,40,50,85,47.5
4495,90,12,35,100,6.0
12776,48,36,38,100,41.1
25058,25,13,52,90,15.7
24257,97,68,35,110,43.7
28783,5,58,48,85,3.4
24769,10,10,52,85,1.3
24071,70,68,38,90,43.4
1393,55,50,55,70,39.1
18867,0,54,38,110,6.8
17081,51,48,38,105,46.7
14689,15,42,38,115,7.2
6059,6,18,38,115,7.2
17043,45,48,41,90,46.0
8752,84,24,41,105,14.5
8749,84,24,41,90,23.4
23098,96,64,35,90,40.5
8955,12,26,38,105,44.6
8665,72,24,41,90,26.8
28220,85,49,48,90,47.2
11154,21,32,35,110,11.6
17313,84,48,38,110,41.3
9178,45,26,35,100,7.5
12735,42,36,38,105,43.8
14771,27,42,38,105,47.8
14706,18,42,38,95,46.2
2073,81,59,43,105,46.9
16421,60,46,35,95,39.5
1527,100,39,43,110,40.9
1867,88,54,43,105,47.2
8875,0,26,41,90,47.8
11763,6,34,35,110,48.2
26626,50,31,52,70,46.5
3482,45,10,41,110,15.3
2368,50,45,43,100,47.9
26670,70,31,48,80,45.7
2149,68,43,43,105,47.3
21892,24,62,38,115,7.2
1724,81,40,43,105,44.7
9736,21,28,41,90,45.6
21626,87,60,41,115,16.4
14287,60,40,38,100,41.1
3019,12,25,43,95,47.8
5399,15,16,35,105,6.9
716,95,65,43,110,47.2
17910,69,50,35,85,39.3
8616,66,24,38,90,13.2
21748,3,62,41,95,13.0
19646,9,56,41,85,25.4
23532,54,66,41,90,41.8
3813,93,10,41,85,13.9
14649,9,42,41,90,42.3
5624,45,16,41,110,15.3
18468,45,52,38,110,47.2
23308,24,66,35,90,36.3
9484,87,26,41,90,25.7
6730,0,20,38,110,6.8
