Type,Weight,Elevators,Winglets,theta,rou,result
C,10,50,1,25,50,34.9
C,10,55,1,25,50,34.9
A,10,0,1,35,50,12.0
A,10,5,1,35,50,13.4
A,10,10,1,35,50,14.9
A,10,15,1,35,50,16.6
A,10,20,1,35,50,18.7
A,10,25,1,35,50,20.7
A,10,30,1,35,50,22.8
A,10,35,1,35,50,24.5
A,10,40,1,35,50,26.1
A,10,45,1,35,50,27.4
A,10,50,1,35,50,28.5
A,10,55,1,35,50,29.3
A,10,60,1,35,50,29.8
A,10,65,1,35,50,30.1
C,10,60,1,35,50,18.1
C,10,65,1,35,50,26.8
C,10,0,1,30,60,8.0
C,10,5,1,30,60,8.0
C,10,10,1,30,60,8.0
C,10,15,1,30,60,9.0
C,10,20,1,30,60,11.4
C,10,25,1,30,60,19.2
C,10,30,1,30,60,30.4
C,10,35,1,30,60,35.8
C,10,40,1,30,60,38.3
C,10,45,1,30,60,39.1
C,10,50,1,30,60,38.7
C,10,55,1,30,60,37.6
C,10,60,1,30,60,35.6
C,10,65,1,30,60,33.2
C,10,70,1,30,60,30.1
C,10,75,1,30,60,26.3
C,15,0,1,30,60,6.3
C,15,5,1,30,60,6.9
C,15,10,1,30,60,8.0
C,15,15,1,30,60,9.0
C,15,20,1,30,60,10.5
C,15,25,1,30,60,15.2
C,15,30,1,30,60,27.1
C,15,35,1,30,60,33.6
C,15,40,1,30,60,37.0
C,15,45,1,30,60,37.0
C,15,50,1,30,60,38.8
C,15,55,1,30,60,0.0
C,15,60,1,30,60,37.0
C,15,65,1,30,60,35.1
C,15,70,1,30,60,32.9
C,15,75,1,30,60,29.6
C,20,20,1,30,60,10.5
C,20,25,1,30,60,14.4
C,20,30,1,30,60,25.1
C,20,35,1,30,60,32.5
C,20,40,1,30,60,36.1
C,20,45,1,30,60,38.0
C,20,50,1,30,60,38.7
C,20,55,1,30,60,38.4
C,20,60,1,30,60,37.5
C,20,65,1,30,60,36.0
C,20,70,1,30,60,34.3
C,20,75,1,30,60,32.1
C,20,0,1,30,100,3.9
C,20,5,1,30,100,4.0
C,20,10,1,30,100,4.0
C,20,15,1,30,100,4.1
C,20,20,1,30,100,4.8
C,20,25,1,30,100,4.9
C,20,30,1,30,100,5.7
C,20,35,1,30,100,5.7
C,20,40,1,30,100,6.5
C,20,45,1,30,100,8.6
C,20,50,1,30,100,44.2
C,20,55,1,30,100,43.1
C,20,60,1,30,100,40.9
C,20,65,1,30,100,38.1
C,20,70,1,30,100,34.6
C,20,75,1,30,100,30.4
C,20,80,1,30,100,26.5
C,25,0,1,30,100,3.9
C,25,5,1,30,100,4.0
C,25,10,1,30,100,4.0
C,25,15,1,30,100,4.1
C,25,20,1,30,100,4.8
C,25,25,1,30,100,4.9
C,25,30,1,30,100,4.9
C,25,35,1,30,100,5.7
C,25,40,1,30,100,6.5
C,25,45,1,30,100,7.2
C,25,50,1,30,100,44.0
C,25,55,1,30,100,43.6
C,25,60,1,30,100,42.1
C,25,65,1,30,100,40.0
C,25,70,1,30,100,37.3
C,25,75,1,30,100,34.1
C,25,80,1,30,100,30.6
C,30,30,1,30,100,4.9
C,30,35,1,30,100,5.7
C,30,40,1,30,100,5.7
C,30,45,1,30,100,6.5
C,30,50,1,30,100,7.9
C,30,55,1,30,100,43.7
C,30,60,1,30,100,42.8
C,30,65,1,30,100,41.3
C,30,70,1,30,100,39.2
C,30,75,1,30,100,36.7
C,30,80,1,30,100,33.7
C,35,30,1,30,100,4.9
C,35,35,1,30,100,4.9
C,35,40,1,30,100,5.7
C,35,45,1,30,100,6.5
C,35,50,1,30,100,7.2
C,35,55,1,30,100,9.9
C,35,60,1,30,100,43.2
C,35,65,1,30,100,42.3
C,35,70,1,30,100,40.5
C,35,75,1,30,100,38.6
C,35,80,1,30,100,36.2
C,40,50,1,30,100,6.5
C,40,55,1,30,100,7.9
C,40,60,1,30,100,43.2
C,40,65,1,30,100,42.8
C,40,70,1,30,100,41.5
C,40,75,1,30,100,39.9
C,40,80,1,30,100,37.8
C,40,85,1,30,100,35.6
C,40,90,1,30,100,33.3
C,40,95,1,30,100,30.7
C,45,50,1,30,100,6.5
C,45,55,1,30,100,7.2
C,45,60,1,30,100,8.6
C,45,65,1,30,100,42.9
C,45,70,1,30,100,42.1
C,45,75,1,30,100,40.8
C,45,80,1,30,100,39.3
C,45,85,1,30,100,37.3
C,45,90,1,30,100,35.3
C,45,95,1,30,100,33.1
C,50,50,1,30,100,5.7
C,50,55,1,30,100,6.5
C,50,60,1,30,100,7.2
C,50,65,1,30,100,42.7
C,50,70,1,30,100,42.3
C,50,75,1,30,100,41.5
C,50,80,1,30,100,40.1
C,50,85,1,30,100,38.6
C,50,90,1,30,100,36.7
C,50,95,1,30,100,34.8
C,55,50,1,30,100,5.7
C,55,55,1,30,100,6.5
C,55,60,1,30,100,7.2
C,55,65,1,30,100,7.9
C,55,70,1,30,100,42.5
C,55,75,1,30,100,41.8
C,55,80,1,30,100,40.8
C,55,85,1,30,100,39.4
C,55,90,1,30,100,37.9
C,55,95,1,30,100,36.2
C,60,50,1,30,100,4.4
C,60,55,1,30,100,3.9
C,60,60,1,30,100,6.5
C,60,65,1,30,100,7.2
C,60,70,1,30,100,42.2
C,60,75,1,30,100,42.0
C,60,80,1,30,100,41.3
C,60,85,1,30,100,40.2
C,60,90,1,30,100,38.8
C,60,95,1,30,100,37.3
C,65,50,1,30,100,5.7
C,65,55,1,30,100,5.7
C,65,60,1,30,100,6.5
C,65,65,1,30,100,7.2
C,65,70,1,30,100,7.9
C,65,75,1,30,100,41.9
C,65,80,1,30,100,41.5
C,65,85,1,30,100,40.6
C,65,90,1,30,100,39.5
C,65,95,1,30,100,38.3
C,70,50,1,30,100,5.7
C,70,55,1,30,100,5.7
C,70,60,1,30,100,5.7
C,70,65,1,30,100,6.5
C,70,70,1,30,100,7.2
C,70,75,1,30,100,9.3
C,70,80,1,30,100,41.6
C,70,85,1,30,100,41.0
C,70,90,1,30,100,40.0
C,70,95,1,30,100,38.9
C,75,75,1,30,100,7.9
C,75,80,1,30,100,41.5
C,75,85,1,30,100,41.1
C,75,90,1,30,100,40.4
C,75,95,1,30,100,40.4
C,80,75,1,30,100,7.2
C,80,80,1,30,100,7.9
C,80,85,1,30,100,41.3
C,80,90,1,30,100,40.9
C,80,95,1,30,100,40.1
C,80,65,1,25,100,3.9
C,80,70,1,25,100,3.9
C,80,75,1,25,100,3.9
C,80,80,1,25,100,4.0
C,80,85,1,25,100,4.0
C,80,90,1,25,100,4.0
C,80,95,1,25,100,4.0
C,85,75,1,35,100,43.5
C,85,80,1,35,100,43.0
C,85,85,1,35,100,42.4
C,85,90,1,35,100,41.3
C,85,95,1,35,100,40.2
C,85,65,1,35,105,43.4
C,85,70,1,35,105,44.1
C,85,75,1,35,105,44.0
C,85,60,1,35,120,9.2
C,85,65,1,35,120,44.9
C,85,70,1,35,120,45.6
C,85,75,1,35,120,45.3
C,85,60,1,30,120,4.8
C,85,65,1,30,120,4.8
C,85,70,1,30,120,4.8
C,85,75,1,30,120,5.6
C,90,60,1,35,120,45.3
C,90,65,1,35,120,45.3
C,90,70,1,35,120,45.3
C,90,75,1,35,120,45.3
C,90,80,1,35,120,45.0
C,90,85,1,35,120,44.2
C,90,90,1,35,120,43.1
C,90,95,1,35,120,41.8
C,95,30,1,35,120,5.8
C,95,35,1,35,120,5.8
C,95,40,1,35,120,5.8
C,95,45,1,35,120,5.9
C,95,50,1,35,120,6.7
C,95,55,1,35,120,7.6
C,95,60,1,35,120,7.6
C,95,65,1,35,120,9.2
C,95,70,1,35,120,44.7
C,95,75,1,35,120,45.1
C,95,80,1,35,120,44.9
C,95,85,1,35,120,44.2
C,95,90,1,35,120,43.4
C,95,95,1,35,120,42.4
C,100,65,1,35,120,8.4
C,100,70,1,35,120,10.7
C,100,75,1,35,120,44.9
C,100,80,1,35,120,44.7
C,100,85,1,35,120,44.4
C,100,90,1,35,120,43.8
C,100,95,1,35,120,42.9
