,Weight,Elevators,theta,rou,result
0,0.48,0.46,0.3333333333333333,0.8,44.0
1,0.09,0.42,0.5333333333333333,0.6666666666666666,42.8
2,0.87,0.36,0.43333333333333335,0.8666666666666667,9.8
3,0.5,0.15,0.8333333333333334,0.5333333333333333,41.8
4,1.0,0.71,0.5333333333333333,0.8666666666666667,46.3
5,0.1,0.64,0.7666666666666667,0.5333333333333333,3.4
6,0.06,0.2,0.5333333333333333,0.5333333333333333,43.3
7,0.24,0.22,0.3333333333333333,0.9333333333333333,6.5
8,0.48,0.34,0.43333333333333335,0.8,39.2
9,0.6,0.34,0.5333333333333333,0.8666666666666667,42.2
10,0.93,0.62,0.5333333333333333,0.8666666666666667,46.9
11,0.33,0.26,0.3333333333333333,0.7333333333333333,8.3
12,0.24,0.3,0.3333333333333333,0.9333333333333333,8.2
13,0.9,0.58,0.7666666666666667,0.4,43.5
14,0.84,0.18,0.5333333333333333,0.7333333333333333,12.3
15,0.6,0.24,0.43333333333333335,0.9333333333333333,7.6
16,0.87,0.28,0.3333333333333333,0.8666666666666667,6.4
17,0.09,0.16,0.5333333333333333,0.7333333333333333,33.6
18,0.42,0.34,0.3333333333333333,0.8,9.3
19,0.2,0.25,0.7666666666666667,0.5333333333333333,3.4
20,0.73,0.68,0.5333333333333333,0.9333333333333333,16.4
21,0.7,0.39,0.6,0.8,45.8
22,0.99,0.38,0.5333333333333333,0.9333333333333333,31.0
23,0.81,0.16,0.5333333333333333,0.6,15.3
24,0.96,0.24,0.43333333333333335,0.8,8.0
25,0.1,0.46,0.7666666666666667,0.4666666666666667,29.4
26,0.99,0.22,0.3333333333333333,0.5333333333333333,8.2
27,0.87,0.54,0.43333333333333335,0.9333333333333333,44.8
28,0.48,0.58,0.43333333333333335,0.6,44.0
29,0.36,0.42,0.3333333333333333,0.6,42.9
30,0.03,0.5,0.3333333333333333,0.6666666666666666,35.6
31,0.21,0.28,0.3333333333333333,0.7333333333333333,11.0
